model,prediction,confidence,image_path,dataset
BNext_M_ModelONNX,likely fake,2.91E-05,celeba_val/F_SyCA_10392.png,celeba_val
BNext_M_ModelONNX,likely fake,3.12E-05,celeba_val/F_SyCA_10386.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0004220381034,celeba_val/F_SyCA_10379.png,celeba_val
BNext_M_ModelONNX,likely fake,3.30E-06,celeba_val/F_SyCA_10437.png,celeba_val
BNext_M_ModelONNX,likely fake,2.07E-05,celeba_val/F_SyCA_10351.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0002603231607,celeba_val/F_SyCA_10345.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0009764689791,celeba_val/F_SyCA_10423.png,celeba_val
BNext_M_ModelONNX,likely fake,1.41E-06,celeba_val/F_SyCA_10812.png,celeba_val
BNext_M_ModelONNX,likely fake,9.21E-06,celeba_val/F_SyCA_10806.png,celeba_val
BNext_M_ModelONNX,likely fake,2.41E-07,celeba_val/F_SyCA_10190.png,celeba_val
BNext_M_ModelONNX,likely fake,6.27E-08,celeba_val/F_SyCA_10184.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0004583928568,celeba_val/F_SyCA_10609.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001287226535,celeba_val/F_SyCA_10153.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0003181081016,celeba_val/F_SyCA_10635.png,celeba_val
BNext_M_ModelONNX,likely fake,0.006075543838,celeba_val/F_SyCA_10621.png,celeba_val
BNext_M_ModelONNX,likely fake,0.007519536503,celeba_val/F_SyCA_10147.png,celeba_val
BNext_M_ModelONNX,likely fake,1.89E-05,celeba_val/F_SyCA_10966.png,celeba_val
BNext_M_ModelONNX,likely fake,1.74E-06,celeba_val/F_SyCA_10972.png,celeba_val
BNext_M_ModelONNX,likely fake,2.80E-07,celeba_val/F_SyCA_10782.png,celeba_val
BNext_M_ModelONNX,likely fake,0.008237001545,celeba_val/F_SyCA_10796.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0009825020672,celeba_val/F_SyCA_10769.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001321271214,celeba_val/F_SyCA_10027.png,celeba_val
BNext_M_ModelONNX,likely fake,1.43E-05,celeba_val/F_SyCA_10999.png,celeba_val
BNext_M_ModelONNX,likely fake,8.68E-08,celeba_val/F_SyCA_10741.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0002168058026,celeba_val/F_SyCA_10755.png,celeba_val
BNext_M_ModelONNX,likely fake,6.16E-06,celeba_val/F_SyCA_10033.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001138464176,celeba_val/F_SyCA_10580.png,celeba_val
BNext_M_ModelONNX,likely fake,2.89E-05,celeba_val/F_SyCA_10594.png,celeba_val
BNext_M_ModelONNX,likely fake,0.002751638783,celeba_val/F_SyCA_10219.png,celeba_val
BNext_M_ModelONNX,likely fake,1.86E-07,celeba_val/F_SyCA_10543.png,celeba_val
BNext_M_ModelONNX,likely fake,0.002028158233,celeba_val/F_SyCA_10225.png,celeba_val
BNext_M_ModelONNX,likely fake,3.84E-05,celeba_val/F_SyCA_10231.png,celeba_val
BNext_M_ModelONNX,likely fake,0.000802551131,celeba_val/F_SyCA_10557.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001322766296,celeba_val/F_SyCA_10230.png,celeba_val
BNext_M_ModelONNX,likely fake,3.03E-05,celeba_val/F_SyCA_10556.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001867658106,celeba_val/F_SyCA_10542.png,celeba_val
BNext_M_ModelONNX,likely fake,2.02E-07,celeba_val/F_SyCA_10224.png,celeba_val
BNext_M_ModelONNX,likely fake,1.95E-06,celeba_val/F_SyCA_10218.png,celeba_val
BNext_M_ModelONNX,likely fake,8.58E-05,celeba_val/F_SyCA_10595.png,celeba_val
BNext_M_ModelONNX,likely fake,3.28E-06,celeba_val/F_SyCA_10581.png,celeba_val
BNext_M_ModelONNX,likely fake,2.02E-06,celeba_val/F_SyCA_10754.png,celeba_val
BNext_M_ModelONNX,likely fake,2.95E-05,celeba_val/F_SyCA_10032.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001924446399,celeba_val/F_SyCA_10026.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001822760333,celeba_val/F_SyCA_10740.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001069661742,celeba_val/F_SyCA_10998.png,celeba_val
BNext_M_ModelONNX,likely fake,5.30E-05,celeba_val/F_SyCA_10768.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001720471181,celeba_val/F_SyCA_10797.png,celeba_val
BNext_M_ModelONNX,likely fake,1.01E-06,celeba_val/F_SyCA_10783.png,celeba_val
BNext_M_ModelONNX,likely fake,4.47E-06,celeba_val/F_SyCA_10973.png,celeba_val
BNext_M_ModelONNX,likely fake,1.57E-05,celeba_val/F_SyCA_10967.png,celeba_val
BNext_M_ModelONNX,likely fake,1.66E-05,celeba_val/F_SyCA_10620.png,celeba_val
BNext_M_ModelONNX,likely fake,7.47E-06,celeba_val/F_SyCA_10146.png,celeba_val
BNext_M_ModelONNX,likely fake,5.61E-07,celeba_val/F_SyCA_10152.png,celeba_val
BNext_M_ModelONNX,likely fake,4.04E-06,celeba_val/F_SyCA_10634.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0004553017995,celeba_val/F_SyCA_10608.png,celeba_val
BNext_M_ModelONNX,likely fake,2.58E-05,celeba_val/F_SyCA_10185.png,celeba_val
BNext_M_ModelONNX,likely fake,5.10E-05,celeba_val/F_SyCA_10191.png,celeba_val
BNext_M_ModelONNX,likely fake,7.91E-06,celeba_val/F_SyCA_10807.png,celeba_val
BNext_M_ModelONNX,likely fake,6.25E-05,celeba_val/F_SyCA_10813.png,celeba_val
BNext_M_ModelONNX,likely fake,9.36E-05,celeba_val/F_SyCA_10344.png,celeba_val
BNext_M_ModelONNX,likely fake,0.001747028859,celeba_val/F_SyCA_10422.png,celeba_val
BNext_M_ModelONNX,likely fake,9.64E-05,celeba_val/F_SyCA_10436.png,celeba_val
BNext_M_ModelONNX,likely fake,5.14E-06,celeba_val/F_SyCA_10350.png,celeba_val
BNext_M_ModelONNX,likely fake,5.54E-07,celeba_val/F_SyCA_10378.png,celeba_val
BNext_M_ModelONNX,likely fake,0.003088132606,celeba_val/F_SyCA_10387.png,celeba_val
BNext_M_ModelONNX,likely fake,1.54E-06,celeba_val/F_SyCA_10393.png,celeba_val
BNext_M_ModelONNX,likely fake,8.21E-05,celeba_val/F_SyCA_10385.png,celeba_val
BNext_M_ModelONNX,likely fake,4.44E-05,celeba_val/F_SyCA_10391.png,celeba_val
BNext_M_ModelONNX,likely fake,9.40E-05,celeba_val/F_SyCA_10408.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0005329577726,celeba_val/F_SyCA_10420.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0007786241353,celeba_val/F_SyCA_10346.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0002503535498,celeba_val/F_SyCA_10352.png,celeba_val
BNext_M_ModelONNX,likely fake,1.21E-05,celeba_val/F_SyCA_10434.png,celeba_val
BNext_M_ModelONNX,likely fake,6.29E-07,celeba_val/F_SyCA_10805.png,celeba_val
BNext_M_ModelONNX,likely fake,0.1067672406,celeba_val/F_SyCA_10811.png,celeba_val
BNext_M_ModelONNX,likely fake,0.01112246385,celeba_val/F_SyCA_10187.png,celeba_val
BNext_M_ModelONNX,likely fake,0.01031454836,celeba_val/F_SyCA_10839.png,celeba_val
BNext_M_ModelONNX,likely fake,6.09E-05,celeba_val/F_SyCA_10193.png,celeba_val
BNext_M_ModelONNX,likely fake,1.58E-06,celeba_val/F_SyCA_10178.png,celeba_val
BNext_M_ModelONNX,likely fake,8.27E-05,celeba_val/F_SyCA_10144.png,celeba_val
BNext_M_ModelONNX,likely fake,2.11E-05,celeba_val/F_SyCA_10622.png,celeba_val
BNext_M_ModelONNX,likely fake,0.002847449812,celeba_val/F_SyCA_10636.png,celeba_val
BNext_M_ModelONNX,likely fake,4.92E-06,celeba_val/F_SyCA_10150.png,celeba_val
BNext_M_ModelONNX,likely fake,1.51E-07,celeba_val/F_SyCA_10971.png,celeba_val
BNext_M_ModelONNX,likely fake,3.45E-05,celeba_val/F_SyCA_10965.png,celeba_val
BNext_M_ModelONNX,likely fake,6.64E-05,celeba_val/F_SyCA_10795.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001080366808,celeba_val/F_SyCA_10781.png,celeba_val
BNext_M_ModelONNX,likely fake,3.06E-06,celeba_val/F_SyCA_10959.png,celeba_val
BNext_M_ModelONNX,likely fake,2.11E-05,celeba_val/F_SyCA_10018.png,celeba_val
BNext_M_ModelONNX,likely fake,2.25E-07,celeba_val/F_SyCA_10030.png,celeba_val
BNext_M_ModelONNX,likely fake,5.50E-07,celeba_val/F_SyCA_10756.png,celeba_val
BNext_M_ModelONNX,likely fake,5.34E-06,celeba_val/F_SyCA_10742.png,celeba_val
BNext_M_ModelONNX,likely fake,0.005562473807,celeba_val/F_SyCA_10024.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0002591495987,celeba_val/F_SyCA_10597.png,celeba_val
BNext_M_ModelONNX,likely fake,1.48E-06,celeba_val/F_SyCA_10583.png,celeba_val
BNext_M_ModelONNX,likely fake,1.32E-07,celeba_val/F_SyCA_10568.png,celeba_val
BNext_M_ModelONNX,likely fake,0.08996460941,celeba_val/F_SyCA_10554.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001251851043,celeba_val/F_SyCA_10232.png,celeba_val
BNext_M_ModelONNX,likely fake,8.38E-07,celeba_val/F_SyCA_10226.png,celeba_val
BNext_M_ModelONNX,likely fake,0.01017097303,celeba_val/F_SyCA_10540.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001333457338,celeba_val/F_SyCA_10227.png,celeba_val
BNext_M_ModelONNX,likely fake,0.001074016664,celeba_val/F_SyCA_10541.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001065936066,celeba_val/F_SyCA_10555.png,celeba_val
BNext_M_ModelONNX,likely fake,3.43E-07,celeba_val/F_SyCA_10233.png,celeba_val
BNext_M_ModelONNX,likely fake,3.87E-07,celeba_val/F_SyCA_10569.png,celeba_val
BNext_M_ModelONNX,likely fake,4.05E-07,celeba_val/F_SyCA_10582.png,celeba_val
BNext_M_ModelONNX,likely fake,1.30E-05,celeba_val/F_SyCA_10596.png,celeba_val
BNext_M_ModelONNX,likely fake,1.07E-06,celeba_val/F_SyCA_10743.png,celeba_val
BNext_M_ModelONNX,likely fake,0.07081890029,celeba_val/F_SyCA_10025.png,celeba_val
BNext_M_ModelONNX,likely fake,0.001800392906,celeba_val/F_SyCA_10031.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001939093304,celeba_val/F_SyCA_10757.png,celeba_val
BNext_M_ModelONNX,likely fake,4.60E-07,celeba_val/F_SyCA_10019.png,celeba_val
BNext_M_ModelONNX,likely fake,2.44E-05,celeba_val/F_SyCA_10958.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001358733821,celeba_val/F_SyCA_10780.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0002393062107,celeba_val/F_SyCA_10794.png,celeba_val
BNext_M_ModelONNX,likely fake,4.91E-05,celeba_val/F_SyCA_10964.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0001514597495,celeba_val/F_SyCA_10970.png,celeba_val
BNext_M_ModelONNX,likely fake,2.27E-05,celeba_val/F_SyCA_10637.png,celeba_val
BNext_M_ModelONNX,likely fake,0.0004990422293,celeba_val/F_SyCA_10151.png,celeba_val
BNext_M_ModelONNX,likely fake,2.46E-07,celeba_val/F_SyCA_10145.png,celeba_val
BNext_M_ModelONNX,likely fake,8.94E-05,celeba_val/F_SyCA_10623.png,celeba_val
